House,Day,Minute,Occupant-1 Activity,Occupant-2 Activity
A,1,0,12,17
A,1,1,12,17
A,1,2,12,17
A,1,3,12,17
A,1,4,12,17
A,1,5,12,17
A,1,6,12,17
A,1,7,12,17
A,1,8,12,17
A,1,9,12,17
A,1,10,22,17
A,1,11,22,17
A,1,12,22,17
A,1,13,22,17
A,1,14,22,17
A,1,15,12,17
A,1,16,12,17
A,1,17,12,17
A,1,18,12,17
A,1,19,12,17
A,1,20,12,17
A,1,21,12,17
A,1,22,12,17
A,1,23,12,17
A,1,24,12,17
A,1,25,12,17
A,1,26,12,17
A,1,27,12,17
A,1,28,12,17
A,1,29,12,17
A,1,30,12,17
A,1,31,12,17
A,1,32,12,17
A,1,33,12,17
A,1,34,12,17
A,1,35,12,17
A,1,36,12,17
A,1,37,12,17
A,1,38,12,17
A,1,39,12,17
A,1,40,12,17
A,1,41,12,17
A,1,42,12,17
A,1,43,12,17
A,1,44,12,15
A,1,45,12,15
A,1,46,12,15
A,1,47,12,15
A,1,48,12,15
A,1,49,12,15
A,1,50,12,15
A,1,51,12,17
A,1,52,12,17
A,1,53,12,17
A,1,54,12,17
A,1,55,12,17
A,1,56,12,17
A,1,57,21,17
A,1,58,21,17
A,1,59,21,17
A,1,60,15,17
A,1,61,15,17
A,1,62,15,17
A,1,63,15,17
A,1,64,15,17
A,1,65,17,17
A,1,66,17,17
A,1,67,17,17
A,1,68,17,17
A,1,69,17,17
A,1,70,17,17
A,1,71,17,17
A,1,72,17,17
A,1,73,17,17
A,1,74,17,17
A,1,75,17,17
A,1,76,17,17
A,1,77,17,11
A,1,78,17,11
A,1,79,17,11
A,1,80,17,11
A,1,81,17,11
A,1,82,17,11
A,1,83,17,11
A,1,84,17,11
A,1,85,17,11
A,1,86,17,11
A,1,87,17,11
A,1,88,17,11
A,1,89,17,11
A,1,90,17,11
A,1,91,11,11
A,1,92,11,11
A,1,93,11,11
A,1,94,11,11
A,1,95,11,11
A,1,96,11,11
A,1,97,11,11
A,1,98,11,11
A,1,99,11,11
A,1,100,11,11
A,1,101,11,11
A,1,102,11,11
A,1,103,11,11
A,1,104,11,11
A,1,105,11,11
A,1,106,11,11
A,1,107,11,11
A,1,108,11,11
A,1,109,11,11
A,1,110,11,11
A,1,111,11,11
A,1,112,11,11
A,1,113,11,11
A,1,114,11,11
A,1,115,11,11
A,1,116,11,11
A,1,117,11,11
A,1,118,11,11
A,1,119,11,11
A,1,120,11,11
A,1,121,11,11
A,1,122,11,11
A,1,123,11,11
A,1,124,11,11
A,1,125,11,11
A,1,126,11,11
A,1,127,11,11
A,1,128,11,11
A,1,129,11,11
A,1,130,11,11
A,1,131,11,11
A,1,132,11,11
A,1,133,11,11
A,1,134,11,11
A,1,135,11,11
A,1,136,11,11
A,1,137,11,11
A,1,138,11,11
A,1,139,11,11
A,1,140,11,11
A,1,141,11,11
A,1,142,11,11
A,1,143,11,11
A,1,144,11,11
A,1,145,11,11
A,1,146,11,11
A,1,147,11,11
A,1,148,11,11
A,1,149,11,11
A,1,150,11,11
A,1,151,11,11
A,1,152,11,11
A,1,153,11,11
A,1,154,11,11
A,1,155,11,11
A,1,156,11,11
A,1,157,11,11
A,1,158,11,11
A,1,159,11,11
A,1,160,11,11
A,1,161,11,11
A,1,162,11,11
A,1,163,11,11
A,1,164,11,11
A,1,165,11,11
A,1,166,11,11
A,1,167,11,11
A,1,168,11,11
A,1,169,11,11
A,1,170,11,11
A,1,171,11,11
A,1,172,11,11
A,1,173,11,11
A,1,174,11,11
A,1,175,11,11
A,1,176,11,11
A,1,177,11,11
A,1,178,11,11
A,1,179,11,11
A,1,180,11,11
A,1,181,11,11
A,1,182,11,11
A,1,183,11,11
A,1,184,11,11
A,1,185,11,11
A,1,186,11,11
A,1,187,11,11
A,1,188,11,11
A,1,189,11,11
A,1,190,11,11
A,1,191,11,11
A,1,192,11,11
A,1,193,11,11
A,1,194,11,11
A,1,195,11,11
A,1,196,11,11
A,1,197,11,11
A,1,198,11,11
A,1,199,11,11
A,1,200,11,11
A,1,201,11,11
A,1,202,11,11
A,1,203,11,11
A,1,204,11,11
A,1,205,11,11
A,1,206,11,11
A,1,207,11,11
A,1,208,11,11
A,1,209,11,11
A,1,210,11,11
A,1,211,11,11
A,1,212,11,11
A,1,213,11,11
A,1,214,11,11
A,1,215,11,11
A,1,216,11,11
A,1,217,11,11
A,1,218,11,11
A,1,219,11,11
A,1,220,11,11
A,1,221,11,11
A,1,222,11,11
A,1,223,11,11
A,1,224,11,11
A,1,225,11,11
A,1,226,11,11
A,1,227,11,11
A,1,228,11,11
A,1,229,11,11
A,1,230,11,11
A,1,231,11,11
A,1,232,11,11
A,1,233,11,11
A,1,234,11,11
A,1,235,11,11
A,1,236,11,11
A,1,237,11,11
A,1,238,11,11
A,1,239,11,11
A,1,240,11,11
A,1,241,11,11
A,1,242,11,11
A,1,243,11,11
A,1,244,11,11
A,1,245,11,11
A,1,246,11,11
A,1,247,11,11
A,1,248,11,11
A,1,249,11,11
A,1,250,11,11
A,1,251,11,11
A,1,252,11,11
A,1,253,11,11
A,1,254,11,11
A,1,255,11,11
A,1,256,11,11
A,1,257,11,11
A,1,258,11,11
A,1,259,11,11
A,1,260,11,11
A,1,261,11,11
A,1,262,11,11
A,1,263,11,11
A,1,264,11,11
A,1,265,11,11
A,1,266,11,11
A,1,267,11,11
A,1,268,11,11
A,1,269,11,11
A,1,270,11,11
A,1,271,11,11
A,1,272,11,11
A,1,273,11,11
A,1,274,11,11
A,1,275,11,11
A,1,276,11,11
A,1,277,11,11
A,1,278,11,11
A,1,279,11,11
A,1,280,11,11
A,1,281,11,11
A,1,282,11,11
A,1,283,11,11
A,1,284,11,11
A,1,285,11,11
A,1,286,11,11
A,1,287,11,11
A,1,288,11,11
A,1,289,11,11
A,1,290,11,11
A,1,291,11,11
A,1,292,11,11
A,1,293,11,11
A,1,294,11,11
A,1,295,11,11
A,1,296,11,11
A,1,297,11,11
A,1,298,11,11
A,1,299,11,11
A,1,300,11,11
A,1,301,11,11
A,1,302,11,11
A,1,303,11,11
A,1,304,11,11
A,1,305,11,11
A,1,306,11,11
A,1,307,11,11
A,1,308,11,11
A,1,309,11,11
A,1,310,11,11
A,1,311,11,11
A,1,312,11,11
A,1,313,11,11
A,1,314,11,11
A,1,315,11,11
A,1,316,11,11
A,1,317,11,11
A,1,318,11,11
A,1,319,11,11
A,1,320,11,11
A,1,321,11,11
A,1,322,11,11
A,1,323,11,11
A,1,324,11,11
A,1,325,11,11
A,1,326,11,11
A,1,327,11,11
A,1,328,11,11
A,1,329,11,11
A,1,330,11,11
A,1,331,11,11
A,1,332,11,11
A,1,333,11,11
A,1,334,11,11
A,1,335,11,11
A,1,336,11,11
A,1,337,11,11
A,1,338,11,11
A,1,339,11,11
A,1,340,11,11
A,1,341,11,11
A,1,342,11,11
A,1,343,11,11
A,1,344,11,11
A,1,345,11,11
A,1,346,11,11
A,1,347,11,11
A,1,348,11,11
A,1,349,11,11
A,1,350,11,11
A,1,351,11,11
A,1,352,11,11
A,1,353,11,11
A,1,354,11,11
A,1,355,11,11
A,1,356,11,11
A,1,357,11,11
A,1,358,11,11
A,1,359,11,11
A,1,360,11,11
A,1,361,11,11
A,1,362,11,11
A,1,363,11,11
A,1,364,11,11
A,1,365,11,11
A,1,366,11,11
A,1,367,11,11
A,1,368,11,11
A,1,369,11,11
A,1,370,11,11
A,1,371,11,11
A,1,372,11,11
A,1,373,11,11
A,1,374,11,11
A,1,375,11,11
A,1,376,11,11
A,1,377,11,11
A,1,378,11,11
A,1,379,11,11
A,1,380,11,11
A,1,381,11,11
A,1,382,11,11
A,1,383,11,11
A,1,384,11,20
A,1,385,11,20
A,1,386,11,20
A,1,387,11,20
A,1,388,11,20
A,1,389,11,20
A,1,390,11,20
A,1,391,11,20
A,1,392,11,21
A,1,393,11,21
A,1,394,11,21
A,1,395,11,15
A,1,396,11,27
A,1,397,11,27
A,1,398,11,27
A,1,399,11,2
A,1,400,11,2
A,1,401,11,2
A,1,402,11,2
A,1,403,11,2
A,1,404,11,2
A,1,405,11,2
A,1,406,11,2
A,1,407,11,2
A,1,408,11,2
A,1,409,11,2
A,1,410,11,2
A,1,411,11,2
A,1,412,11,2
A,1,413,11,2
A,1,414,11,2
A,1,415,11,2
A,1,416,11,2
A,1,417,11,2
A,1,418,11,2
A,1,419,11,2
A,1,420,11,2
A,1,421,11,2
A,1,422,11,2
A,1,423,11,2
A,1,424,11,2
A,1,425,11,2
A,1,426,11,2
A,1,427,11,2
A,1,428,11,2
A,1,429,11,2
A,1,430,11,2
A,1,431,11,2
A,1,432,11,2
A,1,433,11,2
A,1,434,11,2
A,1,435,11,2
A,1,436,11,2
