House,Day,Occupant-2 Activity ID,Occupant-2 Zone ID,Start Time,Duration
A,1,17,1,0,44
A,1,15,4,44,6
A,1,17,1,51,332
A,1,20,4,384,11
A,1,27,1,396,2
A,1,2,0,399,672
A,1,14,4,1072,16
A,1,17,1,1089,0
A,1,12,2,1090,48
A,1,10,3,1139,2
A,1,22,2,1142,118
A,1,17,1,1261,31
A,1,15,4,1293,2
A,1,8,3,1296,30
A,1,17,1,1327,69
A,1,21,4,1397,3
A,1,12,2,1401,38
A,2,2,0,0,1439
A,3,10,3,0,1
A,3,17,1,2,87
A,3,21,4,90,21
A,3,11,1,112,423
A,3,20,4,536,31
A,3,3,3,568,7
A,3,21,4,576,8
A,3,2,0,585,703
A,3,15,4,1289,5
A,3,22,2,1295,1
A,3,17,1,1297,65
A,3,22,2,1363,76
A,4,17,1,0,5
A,4,21,4,6,2
A,4,11,1,9,425
A,4,1,0,435,2
A,4,11,1,438,24
A,4,15,4,463,44
A,4,3,3,508,6
A,4,21,4,515,3
A,4,27,1,519,14
A,4,2,0,534,492
A,4,25,2,1027,15
A,4,15,4,1043,25
A,4,27,1,1069,10
A,4,2,0,1080,916
A,5,25,2,557,10
A,5,27,1,568,1
A,5,3,3,570,24
A,5,21,4,595,16
A,5,22,2,612,17
A,5,2,0,630,599
A,5,27,1,1230,1
A,5,12,2,1232,15
A,5,15,4,1248,2
A,5,12,2,1251,46
A,5,17,1,1298,30
A,5,1,0,1329,3
A,5,17,1,1333,5
A,5,13,2,1339,95
A,5,21,4,1435,3
A,5,11,1,1439,0
A,6,12,2,0,5
A,6,1,0,6,2
A,6,12,2,9,24
A,6,15,4,34,3
A,6,18,2,38,15
A,6,27,1,54,10
A,6,2,0,65,55
A,6,27,1,121,425
A,6,21,4,547,12
A,6,27,1,560,4
A,6,15,4,565,19
A,6,2,0,585,465
A,6,27,1,1051,3
A,6,25,2,1055,94
A,6,16,1,1150,66
A,6,7,3,1217,75
A,6,12,2,1293,78
A,6,10,3,1372,4
A,6,12,2,1377,41
A,6,17,1,1419,7
A,6,12,2,1427,12
A,7,2,0,0,44
A,7,27,1,45,3
A,7,15,4,49,28
A,7,17,1,78,11
A,7,7,3,90,31
A,7,27,1,122,0
A,7,2,0,123,95
A,7,27,1,219,1
A,7,1,0,221,3
A,7,21,4,225,4
A,7,1,0,230,0
A,7,12,2,231,12
A,7,11,1,244,39
A,7,15,4,284,1
A,7,11,1,286,321
A,7,15,4,608,21
A,7,16,1,630,29
A,7,2,0,660,8
A,7,18,2,669,57
A,7,17,1,727,54
A,7,22,2,782,74
A,7,27,1,857,6
A,7,19,3,864,7
A,7,2,0,872,122
A,7,27,1,995,1
A,7,12,2,997,135
A,7,17,1,1133,6
A,7,15,4,1140,1
A,7,27,1,1142,3
A,7,1,0,1146,4
A,7,17,1,1151,11
A,7,2,0,1163,276
A,8,12,2,0,17
A,8,10,3,18,3
A,8,12,2,22,8
A,8,1,0,31,1
A,8,12,2,33,17
A,8,16,1,51,70
A,8,21,4,122,2
A,8,1,0,125,2
A,8,12,2,128,27
A,8,11,1,156,355
A,8,15,4,512,18
A,8,1,0,531,3
A,8,27,1,535,9
A,8,2,0,545,495
A,8,22,2,1041,6
A,8,27,1,1048,5
A,8,12,2,1054,6
A,8,1,0,1061,3
A,8,12,2,1065,9
A,8,1,0,1075,4
A,8,12,2,1080,91
A,8,1,0,1172,0
A,8,19,3,1173,7
A,8,15,4,1181,2
A,8,12,2,1184,2
A,8,9,3,1187,94
A,8,17,1,1282,12
A,8,13,2,1295,186
A,9,16,1,42,70
A,9,15,4,113,8
A,9,16,1,122,10
A,9,7,3,133,28
A,9,21,4,162,18
A,9,10,3,181,4
A,9,11,1,186,309
A,9,15,4,496,17
A,9,1,0,514,1
A,9,27,1,516,4
A,9,2,0,521,286
A,9,22,2,808,10
A,9,27,1,819,0
A,9,18,2,820,15
A,9,17,1,836,43
A,9,22,2,880,45
A,9,17,1,926,1
A,9,22,2,928,37
A,9,17,1,966,41
A,9,12,2,1008,24
A,9,16,1,1033,61
A,9,1,0,1095,8
A,9,12,2,1104,88
A,9,7,3,1193,68
A,9,12,2,1262,7
A,9,9,3,1270,3
A,9,12,2,1274,38
A,9,15,4,1313,1
A,9,1,0,1315,2
A,9,12,2,1318,21
A,9,17,1,1340,42
A,9,12,2,1383,0
A,9,17,1,1384,15
A,9,14,4,1400,21
A,9,10,3,1422,7
A,9,18,2,1430,9
A,10,2,0,0,26
A,10,22,2,27,13
A,10,27,1,41,2
A,10,12,2,44,41
A,10,15,4,86,9
A,10,1,0,96,0
A,10,17,1,97,12
A,10,10,3,110,31
A,10,1,0,142,0
A,10,10,3,143,2
A,10,21,4,146,4
A,10,1,0,151,2
A,10,11,1,154,230
A,10,15,4,385,3
A,10,11,1,389,109
A,10,15,4,499,15
A,10,1,0,515,0
A,10,27,1,516,5
A,10,2,0,522,568
A,10,22,2,1091,2
A,10,27,1,1094,1
A,10,18,2,1096,66
A,10,17,1,1163,31
A,10,2,0,1195,244
A,11,22,2,0,21
A,11,15,4,22,31
A,11,25,2,54,5
A,11,11,1,60,358
A,11,15,4,419,11
A,11,4,3,431,1
A,11,21,4,433,3
A,11,27,1,437,3
A,11,1,0,441,702
A,11,27,1,1144,2
A,11,1,0,1147,2
A,11,12,2,1150,69
A,11,7,3,1220,56
A,11,18,2,1277,16
A,11,9,3,1294,0
A,11,22,2,1295,65
A,11,10,3,1361,4
A,11,12,2,1366,27
A,11,17,1,1394,8
A,11,18,2,1403,24
A,11,10,3,1428,4
A,11,12,2,1433,6
A,12,11,1,0,485
A,12,15,4,486,17
A,12,27,1,504,10
A,12,1,0,515,605
A,12,27,1,1121,3
A,12,22,2,1125,45
A,12,7,3,1171,24
A,12,2,0,1196,5
A,12,12,2,1202,30
A,12,8,3,1233,24
A,12,12,2,1258,55
A,12,10,3,1314,11
A,12,17,1,1326,47
A,12,10,3,1374,3
A,12,15,4,1378,16
A,12,12,2,1395,29
A,12,10,3,1425,14
A,13,17,1,0,59
A,13,10,3,60,19
A,13,21,4,80,12
A,13,12,2,93,12
A,13,11,1,106,366
A,13,15,4,473,21
A,13,1,0,495,18
A,13,20,4,514,10
A,13,27,1,525,9
A,13,2,0,535,788
A,13,27,1,1324,4
A,13,22,2,1329,50
A,13,17,1,1380,38
A,13,22,2,1419,12
A,13,17,1,1432,7
