House,Day,Occupant-2 Activity ID,Occupant-2 Zone ID,Start Time,Duration
B,1,11,1,0,620
B,1,15,4,620,8
B,1,18,2,629,42
B,1,4,3,672,16
B,1,18,2,689,10
B,1,15,4,700,10
B,1,18,2,711,189
B,1,15,4,901,14
B,1,13,2,916,81
B,1,6,3,998,14
B,1,1,0,1013,4
B,1,13,2,1018,39
B,1,16,1,1058,87
B,1,15,4,1146,0
B,1,10,3,1147,2
B,1,18,2,1150,203
B,1,15,4,1354,1
B,1,12,2,1356,144
B,2,15,4,61,0
B,2,11,1,62,344
B,2,15,4,407,3
B,2,17,1,411,49
B,2,20,4,461,12
B,2,1,0,474,103
B,2,14,4,578,11
B,2,27,1,590,2
B,2,1,0,593,2
B,2,17,1,596,8
B,2,4,3,605,10
B,2,1,0,616,615
B,2,27,1,1232,2
B,2,1,0,1235,0
B,2,18,2,1236,129
B,2,11,1,1366,481
B,3,15,4,408,1
B,3,17,1,410,64
B,3,1,0,475,28
B,3,4,3,504,9
B,3,1,0,514,11
B,3,15,4,526,0
B,3,27,1,527,6
B,3,2,0,534,886
B,3,27,1,1421,1
B,3,1,0,1423,4
B,3,15,4,1428,11
B,4,17,1,0,407
B,4,15,4,408,1
B,4,17,1,410,126
B,4,4,3,537,8
B,4,1,0,546,5
B,4,25,2,552,19
B,4,1,0,572,1
B,4,20,4,574,6
B,4,27,1,581,5
B,4,2,0,587,717
B,4,27,1,1305,3
B,4,15,4,1309,0
B,4,1,0,1310,2
B,4,25,2,1313,15
B,4,8,3,1329,5
B,4,12,2,1335,81
B,4,11,1,1417,429
B,5,1,0,407,0
B,5,17,1,408,128
B,5,15,4,537,1
B,5,27,1,539,2
B,5,1,0,542,793
B,5,27,1,1336,1
B,5,15,4,1338,1
B,5,1,0,1340,1
B,5,25,2,1342,132
B,6,11,1,35,0
B,6,15,4,36,1
B,6,11,1,38,163
B,6,15,4,202,2
B,6,11,1,205,231
B,6,15,4,437,1
B,6,17,1,439,60
B,6,4,3,500,9
B,6,1,0,510,5
B,6,21,4,516,3
B,6,27,1,520,4
B,6,1,0,525,952
B,7,27,1,38,1
B,7,15,4,40,1
B,7,12,2,42,54
B,7,11,1,97,552
B,7,15,4,650,2
B,7,4,3,653,17
B,7,12,2,671,83
B,7,15,4,755,0
B,7,27,1,756,3
B,7,1,0,760,1
B,7,18,2,762,39
B,7,15,4,802,3
B,7,2,0,806,2000
B,8,27,1,1367,0
B,8,15,4,1368,1
B,8,12,2,1370,96
B,9,15,4,27,0
B,9,11,1,28,219
B,9,15,4,248,2
B,9,11,1,251,295
B,9,1,0,547,4
B,9,13,2,552,8
B,9,4,3,561,7
B,9,1,0,569,1
B,9,25,2,571,15
B,9,1,0,587,29
B,9,14,4,617,18
B,9,27,1,636,3
B,9,1,0,640,721
B,9,27,1,1362,1
B,9,25,2,1364,116
B,10,11,1,41,415
B,10,15,4,457,1
B,10,18,2,459,125
B,10,15,4,585,4
B,10,17,1,590,18
B,10,4,3,609,5
