House,Day,Minute,Outdoor (Zone - 0) Occupant,Bedroom (Zone - 1) Occupant,Livingroom (Zone - 2) Occupant,Kitchen (Zone - 3) Occupant,Bathroom (Zone - 4) Occupant
A,1,0,0,1,1,0,0
A,1,1,0,1,1,0,0
A,1,2,0,1,1,0,0
A,1,3,0,1,1,0,0
A,1,4,0,1,1,0,0
A,1,5,0,1,1,0,0
A,1,6,0,1,1,0,0
A,1,7,0,1,1,0,0
A,1,8,0,1,1,0,0
A,1,9,0,1,1,0,0
A,1,10,0,1,1,0,0
A,1,11,0,1,1,0,0
A,1,12,0,1,1,0,0
A,1,13,0,1,1,0,0
A,1,14,0,1,1,0,0
A,1,15,0,1,1,0,0
A,1,16,0,1,1,0,0
A,1,17,0,1,1,0,0
A,1,18,0,1,1,0,0
A,1,19,0,1,1,0,0
A,1,20,0,1,1,0,0
A,1,21,0,1,1,0,0
A,1,22,0,1,1,0,0
A,1,23,0,1,1,0,0
A,1,24,0,1,1,0,0
A,1,25,0,1,1,0,0
A,1,26,0,1,1,0,0
A,1,27,0,1,1,0,0
A,1,28,0,1,1,0,0
A,1,29,0,1,1,0,0
A,1,30,0,1,1,0,0
A,1,31,0,1,1,0,0
A,1,32,0,1,1,0,0
A,1,33,0,1,1,0,0
A,1,34,0,1,1,0,0
A,1,35,0,1,1,0,0
A,1,36,0,1,1,0,0
A,1,37,0,1,1,0,0
A,1,38,0,1,1,0,0
A,1,39,0,1,1,0,0
A,1,40,0,1,1,0,0
A,1,41,0,1,1,0,0
A,1,42,0,1,1,0,0
A,1,43,0,1,1,0,0
A,1,44,0,0,1,0,1
A,1,45,0,0,1,0,1
A,1,46,0,0,1,0,1
A,1,47,0,0,1,0,1
A,1,48,0,0,1,0,1
A,1,49,0,0,1,0,1
A,1,50,0,0,1,0,1
A,1,51,0,1,1,0,0
A,1,52,0,1,1,0,0
A,1,53,0,1,1,0,0
A,1,54,0,1,1,0,0
A,1,55,0,1,1,0,0
A,1,56,0,1,1,0,0
A,1,57,0,1,0,0,1
A,1,58,0,1,0,0,1
A,1,59,0,1,0,0,1
A,1,60,0,1,0,0,1
A,1,61,0,1,0,0,1
A,1,62,0,1,0,0,1
A,1,63,0,1,0,0,1
