House,Day,Minute,Outdoor (Zone - 0) Occupant,Bedroom (Zone - 1) Occupant,Livingroom (Zone - 2) Occupant,Kitchen (Zone - 3) Occupant,Bathroom (Zone - 4) Occupant
B,1,0,0,2,0,0,0
B,1,1,0,2,0,0,0
B,1,2,0,2,0,0,0
B,1,3,0,2,0,0,0
B,1,4,0,2,0,0,0
B,1,5,0,2,0,0,0
B,1,6,0,2,0,0,0
B,1,7,0,2,0,0,0
B,1,8,0,2,0,0,0
B,1,9,0,2,0,0,0
B,1,10,0,2,0,0,0
B,1,11,0,2,0,0,0
B,1,12,0,2,0,0,0
B,1,13,0,2,0,0,0
B,1,14,0,2,0,0,0
B,1,15,0,2,0,0,0
B,1,16,0,2,0,0,0
B,1,17,0,2,0,0,0
B,1,18,0,2,0,0,0
B,1,19,0,2,0,0,0
B,1,20,0,2,0,0,0
B,1,21,0,2,0,0,0
B,1,22,0,2,0,0,0
B,1,23,0,2,0,0,0
B,1,24,0,2,0,0,0
B,1,25,0,2,0,0,0
B,1,26,0,2,0,0,0
B,1,27,0,2,0,0,0
B,1,28,0,2,0,0,0
B,1,29,0,2,0,0,0
B,1,30,0,2,0,0,0
B,1,31,0,2,0,0,0
B,1,32,0,2,0,0,0
B,1,33,0,2,0,0,0
B,1,34,0,2,0,0,0
B,1,35,0,2,0,0,0
B,1,36,0,2,0,0,0
B,1,37,0,2,0,0,0
B,1,38,0,2,0,0,0
B,1,39,0,2,0,0,0
B,1,40,0,2,0,0,0
B,1,41,0,2,0,0,0
B,1,42,0,2,0,0,0
B,1,43,0,2,0,0,0
B,1,44,0,2,0,0,0
B,1,45,0,2,0,0,0
B,1,46,0,2,0,0,0
B,1,47,0,2,0,0,0
B,1,48,0,2,0,0,0
B,1,49,0,2,0,0,0
B,1,50,0,2,0,0,0
B,1,51,0,2,0,0,0
B,1,52,0,2,0,0,0
B,1,53,0,2,0,0,0
B,1,54,0,2,0,0,0
B,1,55,0,2,0,0,0
B,1,56,0,2,0,0,0
B,1,57,0,2,0,0,0
B,1,58,0,2,0,0,0
B,1,59,0,2,0,0,0
B,1,60,0,2,0,0,0
B,1,61,0,2,0,0,0
B,1,62,0,2,0,0,0
B,1,63,0,2,0,0,0
B,1,64,0,2,0,0,0
B,1,65,0,2,0,0,0
B,1,66,0,2,0,0,0
B,1,67,0,2,0,0,0
B,1,68,0,2,0,0,0
B,1,69,0,2,0,0,0
B,1,70,0,2,0,0,0
B,1,71,0,2,0,0,0
B,1,72,0,2,0,0,0
B,1,73,0,2,0,0,0
B,1,74,0,2,0,0,0
B,1,75,0,2,0,0,0
B,1,76,0,2,0,0,0
B,1,77,0,2,0,0,0
B,1,78,0,2,0,0,0
B,1,79,0,2,0,0,0
B,1,80,0,2,0,0,0
B,1,81,0,2,0,0,0
B,1,82,0,2,0,0,0
B,1,83,0,2,0,0,0
B,1,84,0,2,0,0,0
B,1,85,0,2,0,0,0
B,1,86,0,2,0,0,0
B,1,87,0,2,0,0,0
B,1,88,0,2,0,0,0
B,1,89,0,2,0,0,0
B,1,90,0,2,0,0,0
B,1,91,0,2,0,0,0
B,1,92,0,2,0,0,0
B,1,93,0,2,0,0,0
B,1,94,0,2,0,0,0
B,1,95,0,2,0,0,0
B,1,96,0,2,0,0,0
B,1,97,0,2,0,0,0
B,1,98,0,2,0,0,0
B,1,99,0,2,0,0,0
B,1,100,0,2,0,0,0
B,1,101,0,2,0,0,0
B,1,102,0,2,0,0,0
B,1,103,0,2,0,0,0
B,1,104,0,2,0,0,0
B,1,105,0,2,0,0,0
B,1,106,0,2,0,0,0
B,1,107,0,2,0,0,0
B,1,108,0,2,0,0,0
B,1,109,0,2,0,0,0
B,1,110,0,2,0,0,0
B,1,111,0,2,0,0,0
B,1,112,0,2,0,0,0
B,1,113,0,2,0,0,0
B,1,114,0,2,0,0,0
B,1,115,0,2,0,0,0
B,1,116,0,2,0,0,0
B,1,117,0,2,0,0,0
B,1,118,0,2,0,0,0
B,1,119,0,2,0,0,0
B,1,120,0,2,0,0,0
B,1,121,0,2,0,0,0
B,1,122,0,2,0,0,0
B,1,123,0,2,0,0,0
B,1,124,0,2,0,0,0
B,1,125,0,2,0,0,0
B,1,126,0,2,0,0,0
B,1,127,0,2,0,0,0
B,1,128,0,2,0,0,0
B,1,129,0,2,0,0,0
B,1,130,0,2,0,0,0
B,1,131,0,2,0,0,0
B,1,132,0,2,0,0,0
B,1,133,0,2,0,0,0
B,1,134,0,2,0,0,0
B,1,135,0,2,0,0,0
B,1,136,0,2,0,0,0
B,1,137,0,2,0,0,0
B,1,138,0,2,0,0,0
B,1,139,0,2,0,0,0
B,1,140,0,2,0,0,0
B,1,141,0,2,0,0,0
B,1,142,0,2,0,0,0
B,1,143,0,2,0,0,0
B,1,144,0,2,0,0,0
B,1,145,0,2,0,0,0
B,1,146,0,2,0,0,0
B,1,147,0,2,0,0,0
B,1,148,0,2,0,0,0
B,1,149,0,2,0,0,0
B,1,150,0,2,0,0,0
B,1,151,0,2,0,0,0
B,1,152,0,2,0,0,0
B,1,153,0,2,0,0,0
B,1,154,0,2,0,0,0
B,1,155,0,2,0,0,0
B,1,156,0,2,0,0,0
B,1,157,0,2,0,0,0
B,1,158,0,2,0,0,0
B,1,159,0,2,0,0,0
B,1,160,0,2,0,0,0
B,1,161,0,2,0,0,0
B,1,162,0,2,0,0,0
B,1,163,0,2,0,0,0
B,1,164,0,2,0,0,0
B,1,165,0,2,0,0,0
B,1,166,0,2,0,0,0
B,1,167,0,2,0,0,0
B,1,168,0,2,0,0,0
B,1,169,0,2,0,0,0
B,1,170,0,2,0,0,0
B,1,171,0,2,0,0,0
B,1,172,0,2,0,0,0
B,1,173,0,2,0,0,0
B,1,174,0,2,0,0,0
B,1,175,0,2,0,0,0
B,1,176,0,2,0,0,0
B,1,177,0,2,0,0,0
B,1,178,0,2,0,0,0
B,1,179,0,2,0,0,0
B,1,180,0,2,0,0,0
B,1,181,0,2,0,0,0
B,1,182,0,2,0,0,0
B,1,183,0,2,0,0,0
B,1,184,0,2,0,0,0
B,1,185,0,2,0,0,0
B,1,186,0,2,0,0,0
B,1,187,0,2,0,0,0
B,1,188,0,2,0,0,0
B,1,189,0,2,0,0,0
B,1,190,0,2,0,0,0
B,1,191,0,2,0,0,0
B,1,192,0,2,0,0,0
B,1,193,0,2,0,0,0
B,1,194,0,2,0,0,0
B,1,195,0,2,0,0,0
B,1,196,0,2,0,0,0
B,1,197,0,2,0,0,0
B,1,198,0,2,0,0,0
B,1,199,0,2,0,0,0
B,1,200,0,2,0,0,0
B,1,201,0,2,0,0,0
B,1,202,0,2,0,0,0
B,1,203,0,2,0,0,0
B,1,204,0,2,0,0,0
B,1,205,0,2,0,0,0
B,1,206,0,2,0,0,0
B,1,207,0,2,0,0,0
B,1,208,0,2,0,0,0
B,1,209,0,2,0,0,0
B,1,210,0,2,0,0,0
B,1,211,0,2,0,0,0
B,1,212,0,2,0,0,0
B,1,213,0,2,0,0,0
B,1,214,0,2,0,0,0
B,1,215,0,2,0,0,0
B,1,216,0,2,0,0,0
B,1,217,0,2,0,0,0
B,1,218,0,2,0,0,0
B,1,219,0,2,0,0,0
B,1,220,0,2,0,0,0
B,1,221,0,2,0,0,0
B,1,222,0,2,0,0,0
B,1,223,0,2,0,0,0
B,1,224,0,2,0,0,0
B,1,225,0,2,0,0,0
B,1,226,0,2,0,0,0
B,1,227,0,2,0,0,0
B,1,228,0,2,0,0,0
B,1,229,0,2,0,0,0
B,1,230,0,2,0,0,0
B,1,231,0,2,0,0,0
B,1,232,0,2,0,0,0
B,1,233,0,2,0,0,0
B,1,234,0,2,0,0,0
B,1,235,0,2,0,0,0
B,1,236,0,2,0,0,0
B,1,237,0,2,0,0,0
B,1,238,0,2,0,0,0
B,1,239,0,2,0,0,0
B,1,240,0,2,0,0,0
B,1,241,0,2,0,0,0
B,1,242,0,2,0,0,0
B,1,243,0,2,0,0,0
B,1,244,0,2,0,0,0
B,1,245,0,2,0,0,0
B,1,246,0,2,0,0,0
B,1,247,0,2,0,0,0
B,1,248,0,2,0,0,0
B,1,249,0,2,0,0,0
B,1,250,0,2,0,0,0
B,1,251,0,2,0,0,0
B,1,252,0,2,0,0,0
B,1,253,0,2,0,0,0
B,1,254,0,2,0,0,0
B,1,255,0,2,0,0,0
B,1,256,0,2,0,0,0
B,1,257,0,2,0,0,0
B,1,258,0,2,0,0,0
B,1,259,0,2,0,0,0
B,1,260,0,2,0,0,0
B,1,261,0,2,0,0,0
B,1,262,0,2,0,0,0
B,1,263,0,2,0,0,0
B,1,264,0,2,0,0,0
B,1,265,0,2,0,0,0
B,1,266,0,2,0,0,0
B,1,267,0,2,0,0,0
B,1,268,0,2,0,0,0
B,1,269,0,2,0,0,0
B,1,270,0,2,0,0,0
B,1,271,0,2,0,0,0
B,1,272,0,2,0,0,0
B,1,273,0,2,0,0,0
B,1,274,0,2,0,0,0
B,1,275,0,2,0,0,0
B,1,276,0,2,0,0,0
B,1,277,0,2,0,0,0
B,1,278,0,2,0,0,0
B,1,279,0,2,0,0,0
B,1,280,0,2,0,0,0
B,1,281,0,2,0,0,0
B,1,282,0,2,0,0,0
B,1,283,0,2,0,0,0
B,1,284,0,2,0,0,0
B,1,285,0,2,0,0,0
B,1,286,0,2,0,0,0
B,1,287,0,2,0,0,0
B,1,288,0,2,0,0,0
B,1,289,0,2,0,0,0
B,1,290,0,2,0,0,0
B,1,291,0,2,0,0,0
B,1,292,0,2,0,0,0
B,1,293,0,2,0,0,0
B,1,294,0,2,0,0,0
B,1,295,0,2,0,0,0
B,1,296,0,2,0,0,0
B,1,297,0,2,0,0,0
B,1,298,0,2,0,0,0
B,1,299,0,2,0,0,0
B,1,300,0,2,0,0,0
B,1,301,0,1,0,0,1
B,1,302,0,1,0,0,1
B,1,303,0,2,0,0,0
B,1,304,0,2,0,0,0
B,1,305,0,2,0,0,0
B,1,306,0,2,0,0,0
B,1,307,0,2,0,0,0
