House,Day,Minute,Occupant-1 Activity,Occupant-2 Activity,Control Cost ($)
B,1,0,11,11,0.0005654024587341
B,1,1,11,11,0.0005654024587341
B,1,2,11,11,0.0005654024587341
B,1,3,11,11,0.0005654024587341
B,1,4,11,11,0.0005654024587341
B,1,5,11,11,0.0005654024587341
B,1,6,11,11,0.0005654024587341
B,1,7,11,11,0.0005654024587341
B,1,8,11,11,0.0005654024587341
B,1,9,11,11,0.0005654024587341
B,1,10,11,11,0.0005654024587341
B,1,11,11,11,0.0005654024587341
B,1,12,11,11,0.0005654024587341
B,1,13,11,11,0.0005654024587341
B,1,14,11,11,0.0005654024587341
B,1,15,11,11,0.0005654024587341
B,1,16,11,11,0.0005654024587341
B,1,17,11,11,0.0005654024587341
B,1,18,11,11,0.0005654024587341
B,1,19,11,11,0.0005654024587341
B,1,20,11,11,0.0005654024587341
B,1,21,11,11,0.0005654024587341
B,1,22,11,11,0.0005654024587341
B,1,23,11,11,0.0005654024587341
B,1,24,11,11,0.0005654024587341
B,1,25,11,11,0.0005654024587341
B,1,26,11,11,0.0005654024587341
B,1,27,11,11,0.0005654024587341
B,1,28,11,11,0.0005654024587341
B,1,29,11,11,0.0005654024587341
B,1,30,11,11,0.0005654024587341
B,1,31,11,11,0.0005654024587341
B,1,32,11,11,0.0005654024587341
B,1,33,11,11,0.0005654024587341
B,1,34,11,11,0.0005654024587341
B,1,35,11,11,0.0005654024587341
B,1,36,11,11,0.0005654024587341
B,1,37,11,11,0.0005654024587341
B,1,38,11,11,0.0005654024587341
B,1,39,11,11,0.0005654024587341
B,1,40,11,11,0.0005654024587341
B,1,41,11,11,0.0005654024587341
B,1,42,11,11,0.0005654024587341
B,1,43,11,11,0.0005654024587341
B,1,44,11,11,0.0005654024587341
B,1,45,11,11,0.0005654024587341
B,1,46,11,11,0.0005654024587341
B,1,47,11,11,0.0005654024587341
B,1,48,11,11,0.0005654024587341
B,1,49,11,11,0.0005654024587341
B,1,50,11,11,0.0005654024587341
B,1,51,11,11,0.0005654024587341
B,1,52,11,11,0.0005654024587341
B,1,53,11,11,0.0005654024587341
B,1,54,11,11,0.0005654024587341
B,1,55,11,11,0.0005654024587341
B,1,56,11,11,0.0005654024587341
B,1,57,11,11,0.0005654024587341
B,1,58,11,11,0.0005654024587341
B,1,59,11,11,0.0005654024587341
B,1,60,11,11,0.0005654024587341
B,1,61,11,11,0.0005654024587341
B,1,62,11,11,0.0005654024587341
B,1,63,11,11,0.0005654024587341
B,1,64,11,11,0.0005654024587341
B,1,65,11,11,0.0005654024587341
B,1,66,11,11,0.0005654024587341
B,1,67,11,11,0.0005654024587341
B,1,68,11,11,0.0005654024587341
B,1,69,11,11,0.0005654024587341
B,1,70,11,11,0.0005654024587341
B,1,71,11,11,0.0005654024587341
B,1,72,11,11,0.0005654024587341
B,1,73,11,11,0.0005654024587341
B,1,74,11,11,0.0005654024587341
B,1,75,11,11,0.0005654024587341
B,1,76,11,11,0.0005654024587341
B,1,77,11,11,0.0005654024587341
B,1,78,11,11,0.0005654024587341
B,1,79,11,11,0.0005654024587341
B,1,80,11,11,0.0005654024587341
B,1,81,11,11,0.0005654024587341
B,1,82,11,11,0.0005654024587341
B,1,83,11,11,0.0005654024587341
B,1,84,11,11,0.0005654024587341
B,1,85,11,11,0.0005654024587341
B,1,86,11,11,0.0005654024587341
B,1,87,11,11,0.0005654024587341
B,1,88,11,11,0.0005654024587341
B,1,89,11,11,0.0005654024587341
B,1,90,11,11,0.0005654024587341
B,1,91,11,11,0.0005654024587341
B,1,92,11,11,0.0005654024587341
B,1,93,11,11,0.0005654024587341
B,1,94,11,11,0.0005654024587341
B,1,95,11,11,0.0005654024587341
B,1,96,11,11,0.0005654024587341
B,1,97,11,11,0.0005654024587341
B,1,98,11,11,0.0005654024587341
B,1,99,11,11,0.0005654024587341
B,1,100,11,11,0.0005654024587341
B,1,101,11,11,0.0005654024587341
B,1,102,11,11,0.0005654024587341
B,1,103,11,11,0.0005654024587341
B,1,104,11,11,0.0005654024587341
B,1,105,11,11,0.0005654024587341
B,1,106,11,11,0.0005654024587341
B,1,107,11,11,0.0005654024587341
B,1,108,11,11,0.0005654024587341
B,1,109,11,11,0.0005654024587341
B,1,110,11,11,0.0005654024587341
B,1,111,11,11,0.0005654024587341
B,1,112,11,11,0.0005654024587341
B,1,113,11,11,0.0005654024587341
B,1,114,11,11,0.0005654024587341
B,1,115,11,11,0.0005654024587341
B,1,116,11,11,0.0005654024587341
B,1,117,11,11,0.0005654024587341
B,1,118,11,11,0.0005654024587341
B,1,119,11,11,0.0005654024587341
B,1,120,11,11,0.0005654024587341
B,1,121,11,11,0.0005654024587341
B,1,122,11,11,0.0005654024587341
B,1,123,11,11,0.0005654024587341
B,1,124,11,11,0.0005654024587341
B,1,125,11,11,0.0005654024587341
B,1,126,11,11,0.0005654024587341
B,1,127,11,11,0.0005654024587341
B,1,128,11,11,0.0005654024587341
B,1,129,11,11,0.0005654024587341
B,1,130,11,11,0.0005654024587341
B,1,131,11,11,0.0005654024587341
B,1,132,11,11,0.0005654024587341
B,1,133,11,11,0.0005654024587341
B,1,134,11,11,0.0005654024587341
B,1,135,11,11,0.0005654024587341
B,1,136,11,11,0.0005654024587341
B,1,137,11,11,0.0005654024587341
B,1,138,11,11,0.0005654024587341
B,1,139,11,11,0.0005654024587341
B,1,140,11,11,0.0005654024587341
B,1,141,11,11,0.0005654024587341
B,1,142,11,11,0.0005654024587341
B,1,143,11,11,0.0005654024587341
B,1,144,11,11,0.0005654024587341
B,1,145,11,11,0.0005654024587341
B,1,146,11,11,0.0005654024587341
B,1,147,11,11,0.0005654024587341
B,1,148,11,11,0.0005654024587341
B,1,149,11,11,0.0005654024587341
B,1,150,11,11,0.0005654024587341
B,1,151,11,11,0.0005654024587341
B,1,152,11,11,0.0005654024587341
B,1,153,11,11,0.0005654024587341
B,1,154,11,11,0.0005654024587341
B,1,155,11,11,0.0005654024587341
B,1,156,11,11,0.0005654024587341
B,1,157,11,11,0.0005654024587341
B,1,158,11,11,0.0005654024587341
B,1,159,11,11,0.0005654024587341
B,1,160,11,11,0.0005654024587341
B,1,161,11,11,0.0005654024587341
B,1,162,11,11,0.0005654024587341
B,1,163,11,11,0.0005654024587341
B,1,164,11,11,0.0005654024587341
B,1,165,11,11,0.0005654024587341
B,1,166,11,11,0.0005654024587341
B,1,167,11,11,0.0005654024587341
B,1,168,11,11,0.0005654024587341
B,1,169,11,11,0.0005654024587341
B,1,170,11,11,0.0005654024587341
B,1,171,11,11,0.0005654024587341
B,1,172,11,11,0.0005654024587341
B,1,173,11,11,0.0005654024587341
B,1,174,11,11,0.0005654024587341
B,1,175,11,11,0.0005654024587341
B,1,176,11,11,0.0005654024587341
B,1,177,11,11,0.0005654024587341
B,1,178,11,11,0.0005654024587341
B,1,179,11,11,0.0005654024587341
B,1,180,11,11,0.0005654024587341
B,1,181,11,11,0.0005654024587341
B,1,182,11,11,0.0005654024587341
B,1,183,11,11,0.0005654024587341
B,1,184,11,11,0.0005654024587341
B,1,185,11,11,0.0005654024587341
B,1,186,11,11,0.0005654024587341
B,1,187,11,11,0.0005654024587341
B,1,188,11,11,0.0005654024587341
B,1,189,11,11,0.0005654024587341
B,1,190,11,11,0.0005654024587341
B,1,191,11,11,0.0005654024587341
B,1,192,11,11,0.0005654024587341
B,1,193,11,11,0.0005654024587341
B,1,194,11,11,0.0005654024587341
B,1,195,11,11,0.0005654024587341
B,1,196,11,11,0.0005654024587341
B,1,197,11,11,0.0005654024587341
B,1,198,11,11,0.0005654024587341
B,1,199,11,11,0.0005654024587341
B,1,200,11,11,0.0005654024587341
B,1,201,11,11,0.0005654024587341
B,1,202,11,11,0.0005654024587341
B,1,203,11,11,0.0005654024587341
B,1,204,11,11,0.0005654024587341
B,1,205,11,11,0.0005654024587341
B,1,206,11,11,0.0005654024587341
B,1,207,11,11,0.0005654024587341
B,1,208,11,11,0.0005654024587341
B,1,209,11,11,0.0005654024587341
B,1,210,11,11,0.0005654024587341
B,1,211,11,11,0.0005654024587341
B,1,212,11,11,0.0005654024587341
B,1,213,11,11,0.0005654024587341
B,1,214,11,11,0.0005654024587341
B,1,215,11,11,0.0005654024587341
B,1,216,11,11,0.0005654024587341
B,1,217,11,11,0.0005654024587341
B,1,218,11,11,0.0005654024587341
B,1,219,11,11,0.0005654024587341
B,1,220,11,11,0.0005654024587341
B,1,221,11,11,0.0005654024587341
B,1,222,11,11,0.0005654024587341
B,1,223,11,11,0.0005654024587341
B,1,224,11,11,0.0005654024587341
B,1,225,11,11,0.0005654024587341
B,1,226,11,11,0.0005654024587341
B,1,227,11,11,0.0005654024587341
B,1,228,11,11,0.0005654024587341
B,1,229,11,11,0.0005654024587341
B,1,230,11,11,0.0005654024587341
B,1,231,11,11,0.0005654024587341
B,1,232,11,11,0.0005654024587341
B,1,233,11,11,0.0005654024587341
B,1,234,11,11,0.0005654024587341
B,1,235,11,11,0.0005654024587341
B,1,236,11,11,0.0005654024587341
B,1,237,11,11,0.0005654024587341
B,1,238,11,11,0.0005654024587341
B,1,239,11,11,0.0005654024587341
B,1,240,11,11,0.0005654024587341
B,1,241,11,11,0.0005654024587341
B,1,242,11,11,0.0005654024587341
B,1,243,11,11,0.0005654024587341
B,1,244,11,11,0.0005654024587341
B,1,245,11,11,0.0005654024587341
B,1,246,11,11,0.0005654024587341
B,1,247,11,11,0.0005654024587341
B,1,248,11,11,0.0005654024587341
B,1,249,11,11,0.0005654024587341
B,1,250,11,11,0.0005654024587341
B,1,251,11,11,0.0005654024587341
B,1,252,11,11,0.0005654024587341
B,1,253,11,11,0.0005654024587341
B,1,254,11,11,0.0005654024587341
B,1,255,11,11,0.0005654024587341
B,1,256,11,11,0.0005654024587341
B,1,257,11,11,0.0005654024587341
B,1,258,11,11,0.0005654024587341
B,1,259,11,11,0.0005654024587341
B,1,260,11,11,0.0005654024587341
B,1,261,11,11,0.0005654024587341
